title,text,subject,ext_subject,Title_based,Event_based,target,ext_target,Title_based,Event_based,,title,text,subject,ext_subject,sent0_based,Event_based,target,ext_target,sent0_based,Event_based
Rio de Janeiro workers invade assembly in protest at austerity,"Thousands of public workers have stormed the Rio de Janeiro assembly in protest at austerity plans to deal with the Brazilian city's financial crisis. The measures, including cuts salaries, were announced last week. Many public workers have not been paid in months. On Monday the federal government froze Rio's accounts ordering the state to pay millions of dollars in unpaid debt. The demonstrators, mostly firefighters, police and prison officers, spent three hours inside the assembly chamber. During the occupation some wrecked windows, doors and offices. Assembly Speaker Jorge Picciani called the protest ""an affront to the democratic rule of law unprecedented in the political history of Brazil"". Both the state of the city of Rio de Janeiro have been struggling with a long-standing financial crisis because of a drop in global oil and commodity prices.",public workers,workers,,,Rio de Janeiro assembly,in protest,,,,Thousands of public workers have stormed the Rio de Janeiro assembly in protest at austerity plans to deal with the Brazilian city's financial crisis.,"Thousands of public workers have stormed the Rio de Janeiro assembly in protest at austerity plans to deal with the Brazilian city's financial crisis. The measures, including cuts salaries, were announced last week. Many public workers have not been paid in months. On Monday the federal government froze Rio's accounts ordering the state to pay millions of dollars in unpaid debt. The demonstrators, mostly firefighters, police and prison officers, spent three hours inside the assembly chamber. During the occupation some wrecked windows, doors and offices. Assembly Speaker Jorge Picciani called the protest ""an affront to the democratic rule of law unprecedented in the political history of Brazil"". Both the state of the city of Rio de Janeiro have been struggling with a long-standing financial crisis because of a drop in global oil and commodity prices.",public workers,Thousands,,,Rio de Janeiro assembly,public workers,,
India state approves job quotas for Jats after protests,"The assembly in India's Haryana state has passed a bill to provide quotas for the Jat community in government jobs and educational institutes. The government's decision comes after the northern state witnessed violent clashes in February over the issue. At least 25 people died when Jats clashed with security forces and other communities to press for job quotas similar to those given to lower castes. The bill will become law once the state's governor signs it. Correspondents say the governor's approval is a mere formality. Four other caste groups - Jat Sikh, Tyagi, Bishnoi and Ror - have also been included in the bill. Jat leaders say quotas for lower castes put them at a disadvantage in government jobs and at state-run educational institutions.",Assembly in India's Haryana state,state,,,jat community,for Jats,,,,The assembly in India's Haryana state has passed a bill to provide quotas for the Jat community in government jobs and educational institutes.,"The assembly in India's Haryana state has passed a bill to provide quotas for the Jat community in government jobs and educational institutes. The government's decision comes after the northern state witnessed violent clashes in February over the issue. At least 25 people died when Jats clashed with security forces and other communities to press for job quotas similar to those given to lower castes. The bill will become law once the state's governor signs it. Correspondents say the governor's approval is a mere formality. Four other caste groups - Jat Sikh, Tyagi, Bishnoi and Ror - have also been included in the bill. Jat leaders say quotas for lower castes put them at a disadvantage in government jobs and at state-run educational institutions.",Assembly in India's Haryana state,assembly,,,jat community,educational,,
Politician Akbaruddin Owaisi held over 'hate speeches',"A prominent Muslim legislator in India's Andhra Pradesh state has been arrested for alleged hate speeches. Several cases have been filed against Akbaruddin Owaisi of the Majlis-e-Ittehadul party for anti-Hindu comments he allegedly made in the speeches. Some of the comments were recorded in December and were posted online. Police have charged him with threatening the security of India and with promoting hostilities between Hindus and Muslims. Mr Owaisi went to London after making the speeches to receive medical treatment for ""internal pains"" and returned to India on 7 January. He was arrested on Tuesday after doctors said that hospital tests proved that there were no medical grounds to prevent police from holding him. Correspondents say that the authorities in Andhra Pradesh have been criticised for not taking action against Mr Owaisi earlier. In his speeches, Mr Owaisi reportedly accused police of bias against Muslims, in addition to denigrating Hindu gods. He said that Muslims could ""teach the rest of the country a lesson"". Muslims comprise about 14% of India's more than 1 billion people.",unspecified / police,Owaisi,,,Muslim legislator in India's Andhra Pradesh,hate speeches,,,,A prominent Muslim legislator in India's Andhra Pradesh state has been arrested for alleged hate speeches.,"A prominent Muslim legislator in India's Andhra Pradesh state has been arrested for alleged hate speeches. Several cases have been filed against Akbaruddin Owaisi of the Majlis-e-Ittehadul party for anti-Hindu comments he allegedly made in the speeches. Some of the comments were recorded in December and were posted online. Police have charged him with threatening the security of India and with promoting hostilities between Hindus and Muslims. Mr Owaisi went to London after making the speeches to receive medical treatment for ""internal pains"" and returned to India on 7 January. He was arrested on Tuesday after doctors said that hospital tests proved that there were no medical grounds to prevent police from holding him. Correspondents say that the authorities in Andhra Pradesh have been criticised for not taking action against Mr Owaisi earlier. In his speeches, Mr Owaisi reportedly accused police of bias against Muslims, in addition to denigrating Hindu gods. He said that Muslims could ""teach the rest of the country a lesson"". Muslims comprise about 14% of India's more than 1 billion people.",unspecified / police,arrested,,,Muslim legislator in India's Andhra Pradesh,NA,,
India politician Pradeep Brahma held for Assam violence,"Police in India's north-eastern Assam state have arrested a local politician for his alleged involvement in the recent ethnic violence in the state. Pradeep Brahma, a legislator in the state assembly, was arrested from his home on Thursday morning. He is a leader of the regional Bodoland Peoples Front (BPF), which is an ally of the state's ruling Congress party. At least 87 people have died in fighting between indigenous Bodo tribes and Muslim settlers in Assam. More than 250,000 people who fled their homes are still staying in shelters. There has been tension between indigenous groups and Muslim Bengali migrants in Assam for many years. Police said Mr Brahma, who represents the Kokrajhar (West) constituency, has seven cases registered against him in different police stations in Assam. He was arrested from his home near Kokrajhar town, they said. Kokrajhar, Dhubri and Chirang were some of the districts worst affected by the clashes which began last month. Reports said at least two people were killed in fresh violence on Wednesday in Dhubri district. An indefinite curfew has been clamped in Kokrajhar district and army has marched through the streets of some of the troubled neighbourhoods.",Police in north-eastern Assam state,Brahma,,,local politician,NA,,,,Police in India's north-eastern Assam state have arrested a local politician for his alleged involvement in the recent ethnic violence in the state.,"Police in India's north-eastern Assam state have arrested a local politician for his alleged involvement in the recent ethnic violence in the state. Pradeep Brahma, a legislator in the state assembly, was arrested from his home on Thursday morning. He is a leader of the regional Bodoland Peoples Front (BPF), which is an ally of the state's ruling Congress party. At least 87 people have died in fighting between indigenous Bodo tribes and Muslim settlers in Assam. More than 250,000 people who fled their homes are still staying in shelters. There has been tension between indigenous groups and Muslim Bengali migrants in Assam for many years. Police said Mr Brahma, who represents the Kokrajhar (West) constituency, has seven cases registered against him in different police stations in Assam. He was arrested from his home near Kokrajhar town, they said. Kokrajhar, Dhubri and Chirang were some of the districts worst affected by the clashes which began last month. Reports said at least two people were killed in fresh violence on Wednesday in Dhubri district. An indefinite curfew has been clamped in Kokrajhar district and army has marched through the streets of some of the troubled neighbourhoods.",Police in north-eastern Assam state,Police,,,local politician,eastern,,
India politician Owaisi remanded to judicial custody,"A court in India's Andhra Pradesh state has remanded a prominent Muslim legislator in custody for two weeks over alleged anti-Hindu speeches. Akbaruddin Owaisi of the Majlis-e-Ittehadul party was arrested on Tuesday. Some of the comments were recorded in December and were posted online. Police have charged him with threatening the security of India and with promoting hostilities between Hindus and Muslims. The Press Trust of India news agency said that Mr Owaisi was questioned and produced before a magistrate early on Wednesday. The magistrate remanded him to judicial custody. Mr Owaisi went to London after making the speeches to receive medical treatment for ""internal pains"" and returned to India on 7 January. He was arrested on Tuesday after doctors said that hospital tests proved that there were no medical grounds to prevent police from holding him.",court in India's Andhra Pradesh state,Owaisi,,,Muslim legislator  ,NA,,,,A court in India's Andhra Pradesh state has remanded a prominent Muslim legislator in custody for two weeks over alleged anti-Hindu speeches.,"A court in India's Andhra Pradesh state has remanded a prominent Muslim legislator in custody for two weeks over alleged anti-Hindu speeches. Akbaruddin Owaisi of the Majlis-e-Ittehadul party was arrested on Tuesday. Some of the comments were recorded in December and were posted online. Police have charged him with threatening the security of India and with promoting hostilities between Hindus and Muslims. The Press Trust of India news agency said that Mr Owaisi was questioned and produced before a magistrate early on Wednesday. The magistrate remanded him to judicial custody. Mr Owaisi went to London after making the speeches to receive medical treatment for ""internal pains"" and returned to India on 7 January. He was arrested on Tuesday after doctors said that hospital tests proved that there were no medical grounds to prevent police from holding him.",court in India's Andhra Pradesh state,court,,,Muslim legislator  ,prominent,,
Mexico judge approves recreational cocaine for two users,"A Mexican judge has granted two people the right to recreational cocaine use, in the first ruling of its kind, the organisation behind the cases said. The court said it would allow both claimants to ""possess, transport and use cocaine"" but not sell it, according to Mexico United Against Crime (MUCD). MUCD, which seeks to end the country's ""war on drugs"", called the ruling a ""historic step"". The decision must be reviewed by a higher court before it is enforced. MUCD said the Mexico City court ordered the country's health authority, Cofepris, to authorise the two claimants' use of cocaine.",Mexican judge ,judge,,,two people,recreational cocaine for two users,,,,"A Mexican judge has granted two people the right to recreational cocaine use, in the first ruling of its kind, the organisation behind the cases said.","A Mexican judge has granted two people the right to recreational cocaine use, in the first ruling of its kind, the organisation behind the cases said. The court said it would allow both claimants to ""possess, transport and use cocaine"" but not sell it, according to Mexico United Against Crime (MUCD). MUCD, which seeks to end the country's ""war on drugs"", called the ruling a ""historic step"". The decision must be reviewed by a higher court before it is enforced. MUCD said the Mexico City court ordered the country's health authority, Cofepris, to authorise the two claimants' use of cocaine.",Mexican judge ,judge,,,two people,Mexican judge has granted two people the right to recreational cocaine use,,
Guatemala judge orders jail for ex-president Perez Molina,"Guatemala's former president has spent his first night in prison after a judge ordered his detention while hearings over alleged corruption take place. Otto Perez Molina, 64, left the court in Guatemala City on Thursday under heavy police guard and was taken to a military prison in the capital. On Tuesday, Congress stripped him of his immunity from prosecution which opened the way for criminal charges to be brought against him. He has denied any wrongdoing. The vice-president was sworn in as interim head of state ahead of elections this Sunday after Mr Perez Molina resigned on Thursday. Alejandro Maldonado is expected to govern until the new president is sworn in on 14 January. Mr Maldonado has only been in the post since mid-May, when his predecessor Roxana Baldetti resigned. Ms Baldetti is accused of involvement in the same corruption scheme that Mr Perez Molina is said to have masterminded. She is also being held in prison.",Guatemala judge,judge,,,ex-president Perez Molina,#NAME?,,,,Guatemala's former president has spent his first night in prison after a judge ordered his detention while hearings over alleged corruption take place.,"Guatemala's former president has spent his first night in prison after a judge ordered his detention while hearings over alleged corruption take place. Otto Perez Molina, 64, left the court in Guatemala City on Thursday under heavy police guard and was taken to a military prison in the capital. On Tuesday, Congress stripped him of his immunity from prosecution which opened the way for criminal charges to be brought against him. He has denied any wrongdoing. The vice-president was sworn in as interim head of state ahead of elections this Sunday after Mr Perez Molina resigned on Thursday. Alejandro Maldonado is expected to govern until the new president is sworn in on 14 January. Mr Maldonado has only been in the post since mid-May, when his predecessor Roxana Baldetti resigned. Ms Baldetti is accused of involvement in the same corruption scheme that Mr Perez Molina is said to have masterminded. She is also being held in prison.",Guatemala judge,president,,,ex-president Perez Molina,former president has spent his first night in prison,,
Guatemala judge suspends trial of former military ruler,"A judge in Guatemala has suspended the trial of former military ruler Efrain Rios Montt. He was being tried for a counter-insurgency plan that killed more than 1,700 members of the Ixil indigenous group in 1982. Judge Carol Patricia Flores said she was following a directive from the country's Supreme Court. Mr Rios Montt, who ruled Guatemala between 1982-1983, denies the charges. Judge Flores ordered the legal process to be set back to November 2011, before the retired general was charged with war crimes. ""I am not doing this because I want to, but because it has been ordered by the Constitutional Court and the Supreme Court,"" she said. The 86-year-old has been on trial since March. He faces charges of crimes against humanity in connection with the killing of 1,771 indigenous Mayans during his 17-month rule in 1982-1983. Prosecutors said Gen Rios Montt wanted to wipe out the indigenous group, which he suspected of supporting rebel fighters.",Guatemala judge,judge,,,former military ruler,former military ruler,,,,A judge in Guatemala has suspended the trial of former military ruler Efrain Rios Montt.,"A judge in Guatemala has suspended the trial of former military ruler Efrain Rios Montt. He was being tried for a counter-insurgency plan that killed more than 1,700 members of the Ixil indigenous group in 1982. Judge Carol Patricia Flores said she was following a directive from the country's Supreme Court. Mr Rios Montt, who ruled Guatemala between 1982-1983, denies the charges. Judge Flores ordered the legal process to be set back to November 2011, before the retired general was charged with war crimes. ""I am not doing this because I want to, but because it has been ordered by the Constitutional Court and the Supreme Court,"" she said. The 86-year-old has been on trial since March. He faces charges of crimes against humanity in connection with the killing of 1,771 indigenous Mayans during his 17-month rule in 1982-1983. Prosecutors said Gen Rios Montt wanted to wipe out the indigenous group, which he suspected of supporting rebel fighters.",Guatemala judge,judge,,,former military ruler,former,,
Mexican minister's collaborators accused of embezzlement,"A judge in Mexico City has ordered the arrest of more than seventy associates of the Mexican Tourism minister, on charges of embezzlement and abuse of authority. The minister himself, Oscar Espinosa, faces allegations of having embezzled more than forty- million dollars while he was mayor of Mexico City between 1994 and 1997. Mr Espinosa denies the allegations, but the ruling Institutional Revolutionary Party has rejected a parliamentary motion to lift his ministerial immunity from criminal charges.",judge in Mexico City,collaborators,,,associates of the Mexican Tourism minister,NA,,,,"A judge in Mexico City has ordered the arrest of more than seventy associates of the Mexican Tourism minister, on charges of embezzlement and abuse of authority.","A judge in Mexico City has ordered the arrest of more than seventy associates of the Mexican Tourism minister, on charges of embezzlement and abuse of authority. The minister himself, Oscar Espinosa, faces allegations of having embezzled more than forty- million dollars while he was mayor of Mexico City between 1994 and 1997. Mr Espinosa denies the allegations, but the ruling Institutional Revolutionary Party has rejected a parliamentary motion to lift his ministerial immunity from criminal charges.",judge in Mexico City,judge,,,associates of the Mexican Tourism minister,Mexico City,,
Brazil judge suspends Maracana stadium 'privatisation',"A judge in Rio de Janeiro has suspended a controversial decision to hand over control of Brazil's biggest and most famous football stadium, the Maracana, to a consortium of private companies. Judge Gisela Faria ruled there had been irregularities in the bidding process. One of the companies behind the winning bid had been unfairly advantaged in the process, she said. The stadium will host the final of next year's football World Cup and the opening ceremony of the 2016 Olympics. On Thursday, the Rio de Janeiro state authorities announced a group that includes one of the country's richest men, Eike Batista, had won the bid to manage the stadium for the next 35 years. One of Mr Batista's companies, IMX, produced a viability study in the earlier stages of the process. ""Even before the bids were put forward, the principle of fairness among the competitors had been disregarded,"" Judge Faria said in her ruling. The winning bid also included Brazilian building giant Odebrecht and AEG, the Los Angeles-based entertainment firm, which manages several venues across the US and Europe. The defeated bid was led by rival Brazilian building company OAS, the French company Lagardere and Stadion Amsterdam.",judge in Rio de Janeiro,judge,,,consortium of private companies,' privatisation,,,,"A judge in Rio de Janeiro has suspended a controversial decision to hand over control of Brazil's biggest and most famous football stadium, the Maracana, to a consortium of private companies.","A judge in Rio de Janeiro has suspended a controversial decision to hand over control of Brazil's biggest and most famous football stadium, the Maracana, to a consortium of private companies. Judge Gisela Faria ruled there had been irregularities in the bidding process. One of the companies behind the winning bid had been unfairly advantaged in the process, she said. The stadium will host the final of next year's football World Cup and the opening ceremony of the 2016 Olympics. On Thursday, the Rio de Janeiro state authorities announced a group that includes one of the country's richest men, Eike Batista, had won the bid to manage the stadium for the next 35 years. One of Mr Batista's companies, IMX, produced a viability study in the earlier stages of the process. ""Even before the bids were put forward, the principle of fairness among the competitors had been disregarded,"" Judge Faria said in her ruling. The winning bid also included Brazilian building giant Odebrecht and AEG, the Los Angeles-based entertainment firm, which manages several venues across the US and Europe. The defeated bid was led by rival Brazilian building company OAS, the French company Lagardere and Stadion Amsterdam.",judge in Rio de Janeiro,judge,,,consortium of private companies,controversial,,
Argentina: Former leader Cristina Fernandez has assets frozen,"A judge in Buenos Aires has frozen the assets of former Argentine President Cristina Fernandez de Kirchner. Ms Fernandez has been accused of making fraudulent foreign currency transactions last year in the final months of her government. She has denied the allegations and accused the centre-right government of Mauricio Macri of plotting against her. Some of her closest aides are being investigated for alleged mishandling of public funds. ""The harassment by what I call the 'judicial party' has become ridiculous,"" Ms Fernandez said in a press conference after appearing in court. Hundreds of police officers were deployed outside the court building where the hearing took place. Ms Fernandez was charged in May for allegedly ordering irregular central bank transactions in the US dollar futures market.",judge in Buenos Aires,Fernandez,,,former Argentine President Cristina Fernandez de Kirchner,Former leader Cristina Fernandez has assets,,,,A judge in Buenos Aires has frozen the assets of former Argentine President Cristina Fernandez de Kirchner.,"A judge in Buenos Aires has frozen the assets of former Argentine President Cristina Fernandez de Kirchner. Ms Fernandez has been accused of making fraudulent foreign currency transactions last year in the final months of her government. She has denied the allegations and accused the centre-right government of Mauricio Macri of plotting against her. Some of her closest aides are being investigated for alleged mishandling of public funds. ""The harassment by what I call the 'judicial party' has become ridiculous,"" Ms Fernandez said in a press conference after appearing in court. Hundreds of police officers were deployed outside the court building where the hearing took place. Ms Fernandez was charged in May for allegedly ordering irregular central bank transactions in the US dollar futures market.",judge in Buenos Aires,judge,,,former Argentine President Cristina Fernandez de Kirchner,former,,
Turkish ex-military chief Ilker Basbug freed from jail,"A former Turkish army chief who was sentenced to life for his role in a plot to overthrow the government has been freed from prison in Istanbul. A local court ordered the release of Gen Ilker Basbug, a day after Turkey's constitutional court overturned his sentence citing a legal technicality. Gen Basbug, who was in charge of the Turkish military from 2008 to 2010, was sentenced to life in August 2013. Dozens of people were charged over the alleged plot. Gen Basbug was found guilty of leading a shadowy network of hard-line nationalists known as Ergenekon. The group was said to have plotted to topple the current government of Prime Minister Recep Tayyip Erdogan's Justice and Development Party (AK Party). But Gen Basbug, who has always denied the charges, walked free on Friday.",unspecified / local court,Basbug,,,former Turkish army chief,NA,,,,A former Turkish army chief who was sentenced to life for his role in a plot to overthrow the government has been freed from prison in Istanbul.,"A former Turkish army chief who was sentenced to life for his role in a plot to overthrow the government has been freed from prison in Istanbul. A local court ordered the release of Gen Ilker Basbug, a day after Turkey's constitutional court overturned his sentence citing a legal technicality. Gen Basbug, who was in charge of the Turkish military from 2008 to 2010, was sentenced to life in August 2013. Dozens of people were charged over the alleged plot. Gen Basbug was found guilty of leading a shadowy network of hard-line nationalists known as Ergenekon. The group was said to have plotted to topple the current government of Prime Minister Recep Tayyip Erdogan's Justice and Development Party (AK Party). But Gen Basbug, who has always denied the charges, walked free on Friday.",unspecified / local court,freed,,,former Turkish army chief,former Turkish army chief who was sentenced to life,,
India's Supreme Court court suspends Ayodhya ruling,"India's Supreme Court has suspended a ruling over the fate of the Ayodhya holy site, where Hindu zealots destroyed a mosque in 1992. Last September the Allahabad High Court said the land should be divided and that the razed 16th Century Babri Masjid should not be rebuilt. Hindu and Muslim groups appealed against that verdict, which the court on Monday described as ""strange"".",India's Supreme court,court,,,unspecified /local court,suspends Ayodhya,,,,"India's Supreme Court has suspended a ruling over the fate of the Ayodhya holy site, where Hindu zealots destroyed a mosque in 1992.","India's Supreme Court has suspended a ruling over the fate of the Ayodhya holy site, where Hindu zealots destroyed a mosque in 1992. Last September the Allahabad High Court said the land should be divided and that the razed 16th Century Babri Masjid should not be rebuilt. Hindu and Muslim groups appealed against that verdict, which the court on Monday described as ""strange"".",India's Supreme court,Court,,,unspecified /local court,holy,,
Top Russian Caucasus judge killed,"A top judge has been shot dead in the latest act of violence to shake the Russian republic of Ingushetia. Aza Gazgireyeva was reportedly killed by gunmen as she dropped off her children at school. Five other people were injured, including a small child. The death of Ms Gazgireyeva, the deputy chairwoman of Ingushetia's supreme court, came only 18 months after her predecessor was shot dead. The region borders Chechnya and has seen fierce fighting in recent months. Officials said nearly 50 people died in violence in Ingushetia between January and March. The Russian government recently announced the official end of the war with separatist rebels in Chechnya, saying they had been defeated. But violence in Ingushetia and Dagestan has spiralled. Dagestan's interior minister was shot by a sniper last Friday.",unspecified,judge,,,Russian Caucasus judge,NA,,,,A top judge has been shot dead in the latest act of violence to shake the Russian republic of Ingushetia.,"A top judge has been shot dead in the latest act of violence to shake the Russian republic of Ingushetia. Aza Gazgireyeva was reportedly killed by gunmen as she dropped off her children at school. Five other people were injured, including a small child. The death of Ms Gazgireyeva, the deputy chairwoman of Ingushetia's supreme court, came only 18 months after her predecessor was shot dead. The region borders Chechnya and has seen fierce fighting in recent months. Officials said nearly 50 people died in violence in Ingushetia between January and March. The Russian government recently announced the official end of the war with separatist rebels in Chechnya, saying they had been defeated. But violence in Ingushetia and Dagestan has spiralled. Dagestan's interior minister was shot by a sniper last Friday.",unspecified,shot,,,Russian Caucasus judge,top judge has been shot dead in the latest act,,
Sudan expels two more foreign aid workers,The Sudanese government has ordered the expulsion of two foreign aid workers from the country. The officials from the International Organisation for Migration are set to leave Sudan on Saturday. They had been working in the Darfur region of the country to aid people displaced by war. The order for their expulsion comes days after the International Criminal Court filed charges of genocide against President Omar al-Bashir.,Sudanese government,expels,,,two foreign aid workers,NA,,,,The Sudanese government has ordered the expulsion of two foreign aid workers from the country.,The Sudanese government has ordered the expulsion of two foreign aid workers from the country. The officials from the International Organisation for Migration are set to leave Sudan on Saturday. They had been working in the Darfur region of the country to aid people displaced by war. The order for their expulsion comes days after the International Criminal Court filed charges of genocide against President Omar al-Bashir.,Sudanese government,government,,,two foreign aid workers,Sudanese government has ordered the expulsion of two foreign aid workers,,
Foreign aid workers to be expelled from Laos,"The authorities in Laos have released five foreigners arrested several days ago for attending what officials described as an illegal religious meeting in the capital, Vientiane, and are expelling them. Diplomats say those released, including three Americans, are members of a Christian voluntary health care organization based in the United States. Religious meetings are forbidden in Laos without the consent of the Communist authorities. Earlier reports said about sixty people were arrested at the meeting, but the fate of the others - believed to be Laotians - is unknown.",authorities in Laos,expelled,,,five foreign aid workers,NA,,,,"The authorities in Laos have released five foreigners arrested several days ago for attending what officials described as an illegal religious meeting in the capital, Vientiane, and are expelling them.","The authorities in Laos have released five foreigners arrested several days ago for attending what officials described as an illegal religious meeting in the capital, Vientiane, and are expelling them. Diplomats say those released, including three Americans, are members of a Christian voluntary health care organization based in the United States. Religious meetings are forbidden in Laos without the consent of the Communist authorities. Earlier reports said about sixty people were arrested at the meeting, but the fate of the others - believed to be Laotians - is unknown.",authorities in Laos,authorities,,,five foreign aid workers,several,,
Aid worker killed in Somalia,"Gunmen in southern Somalia have shot dead a Kenyan foreign aid worker. The dead man, who was working for an Italian organisation, Terra Nova, was shot while innoculating cattle. An angry crowd gathered when the victim's body was brought back to the nearby town of Badera. A BBC correspondent in the region says local people are well aware of the need for international help because of acute drought. Aid groups operating are meeting to assess whether the killing was an isolated act of robbery or a sign of greater instability.",gunmen,worker,,,kenyan foreign aid worker,NA,,,,Gunmen in southern Somalia have shot dead a Kenyan foreign aid worker.,"Gunmen in southern Somalia have shot dead a Kenyan foreign aid worker. The dead man, who was working for an Italian organisation, Terra Nova, was shot while innoculating cattle. An angry crowd gathered when the victim's body was brought back to the nearby town of Badera. A BBC correspondent in the region says local people are well aware of the need for international help because of acute drought. Aid groups operating are meeting to assess whether the killing was an isolated act of robbery or a sign of greater instability.",gunmen,Gunmen,,,kenyan foreign aid worker,southern Somalia,,
Egyptian court acquits 43 NGO workers in 'foreign funding' case,"A court in Egypt has acquitted at retrial 43 employees of non-governmental organisations accused of illegally receiving foreign funding. In 2013, three Egyptian workers, an American and a German were sentenced to two years in prison. However, they avoided spending time in jail. Eleven others got suspended sentences, while the rest were tried in absentia. At the time the US expressed outrage at the case, which involved NGOs linked to the Republican and Democratic parties.",court in Egypt,court,,,43 employees of NGOs,Egyptian court acquits 43 NGO workers in ' foreign funding ' case,,,,A court in Egypt has acquitted at retrial 43 employees of non-governmental organisations accused of illegally receiving foreign funding.,"A court in Egypt has acquitted at retrial 43 employees of non-governmental organisations accused of illegally receiving foreign funding. In 2013, three Egyptian workers, an American and a German were sentenced to two years in prison. However, they avoided spending time in jail. Eleven others got suspended sentences, while the rest were tried in absentia. At the time the US expressed outrage at the case, which involved NGOs linked to the Republican and Democratic parties.",court in Egypt,court,,,43 employees of NGOs,retrial,,
Argentina strike causes disruption in Buenos Aires,"Sections of Argentina's General Confederation of Labour (CGT) have gone on a 36-hour strike causing disruption in the capital, Buenos Aires. The stoppage began at midday (16:00BST) on Wednesday and will run throughout Thursday. Rail and air traffic as well as the country's ports, restaurants and bars are expected to be affected. The strikers want higher salaries and tax cuts to counteract the rising cost of living and high inflation. 
'Totalitarian' 
The trade union movement in Argentina is divided into those who back the government of President Cristina Fernandez de Kirchner and those who think it is not doing enough to help workers.",Argentina's General Confederation of Labor,strike,,,unspecified,Buenos Aires,,,,"Sections of Argentina's General Confederation of Labour (CGT) have gone on a 36-hour strike causing disruption in the capital, Buenos Aires.","Sections of Argentina's General Confederation of Labour (CGT) have gone on a 36-hour strike causing disruption in the capital, Buenos Aires. The stoppage began at midday (16:00BST) on Wednesday and will run throughout Thursday. Rail and air traffic as well as the country's ports, restaurants and bars are expected to be affected. The strikers want higher salaries and tax cuts to counteract the rising cost of living and high inflation. 
'Totalitarian' 
The trade union movement in Argentina is divided into those who back the government of President Cristina Fernandez de Kirchner and those who think it is not doing enough to help workers.",Argentina's General Confederation of Labor,Sections,,,unspecified,36-hour,,
Peter Magombeyi: Zimbabwe union leader found after 'abduction',"A Zimbabwean union leader who was thought to have been abducted is alive and well, reports say. Peter Magombeyi had organised a series of strikes over poor pay and working conditions in recent weeks. On Saturday, he sent a message alleging he had been kidnapped, which resulted in hundreds of doctors marching through the capital Harare.",Zimbabwean union leader ,leader,,,unknown,NA,,,,"A Zimbabwean union leader who was thought to have been abducted is alive and well, reports say.","A Zimbabwean union leader who was thought to have been abducted is alive and well, reports say. Peter Magombeyi had organised a series of strikes over poor pay and working conditions in recent weeks. On Saturday, he sent a message alleging he had been kidnapped, which resulted in hundreds of doctors marching through the capital Harare.",Zimbabwean union leader ,leader,,,unknown,who,,
Venezuela union leader Ruben Gonzalez jailed for strike,"A prominent trade union leader in Venezuela has been jailed for seven years over a strike in 2009 at the state iron ore mining company. Ruben Gonzalez was convicted of crimes including unlawful assembly, incitement, and violating a government security zone. Mr Gonzalez, a former supporter of President Hugo Chavez, has accused the government of criminalising protest in Venezuela. His lawyers say they will appeal. Workers gathered outside the court to support his case reacted with shock to the verdict. The strike over unpaid wages in August 2009 paralysed operations at the state iron ore company Ferrominera Orinoco for two weeks. There were also protests outside the state iron foundry in Ciudad Guyana. Opposition parties and some human rights groups have accused President Chavez of denying workers in state-owned industries the right to strike.",unspecified / court,Gonzalez,,,trade union leader,NA,,,,A prominent trade union leader in Venezuela has been jailed for seven years over a strike in 2009 at the state iron ore mining company.,"A prominent trade union leader in Venezuela has been jailed for seven years over a strike in 2009 at the state iron ore mining company. Ruben Gonzalez was convicted of crimes including unlawful assembly, incitement, and violating a government security zone. Mr Gonzalez, a former supporter of President Hugo Chavez, has accused the government of criminalising protest in Venezuela. His lawyers say they will appeal. Workers gathered outside the court to support his case reacted with shock to the verdict. The strike over unpaid wages in August 2009 paralysed operations at the state iron ore company Ferrominera Orinoco for two weeks. There were also protests outside the state iron foundry in Ciudad Guyana. Opposition parties and some human rights groups have accused President Chavez of denying workers in state-owned industries the right to strike.",unspecified / court,jailed,,,trade union leader,NA,,
Zimbabwe union leader 'tortured',"Zimbabwean police have tortured the leader of a teachers' trade union, who called a strike, his lawyer has said. Raymond Majongwe gave himself up to police on Wednesday after hearing that the police were looking for him.",Zimbabwean police,leader,,,leader of the teacher's trade union,NA,,,,"Zimbabwean police have tortured the leader of a teachers' trade union, who called a strike, his lawyer has said.","Zimbabwean police have tortured the leader of a teachers' trade union, who called a strike, his lawyer has said. Raymond Majongwe gave himself up to police on Wednesday after hearing that the police were looking for him.",Zimbabwean police,police,,,leader of the teacher's trade union,Zimbabwean police have tortured the leader of a teachers ' trade union,,
Chile workers unions strike in support of ongoing protests,"Antofagasta, Chile - Workers across key sectors in Chile went on strike on Tuesday in support of ongoing protests against the country's political and economic model. An alliance of dockworker, mining sector, construction, education, government employees and other union federations gave Chilean President Sebastian Pinera an ultimatum last week: either respond to demands in five days or deal with a nationwide work stoppage. Pinera did not respond.",Chile workers unions ,unions,,,unspecified ,NA,,,,"Antofagasta, Chile - Workers across key sectors in Chile went on strike on Tuesday in support of ongoing protests against the country's political and economic model.","Antofagasta, Chile - Workers across key sectors in Chile went on strike on Tuesday in support of ongoing protests against the country's political and economic model. An alliance of dockworker, mining sector, construction, education, government employees and other union federations gave Chilean President Sebastian Pinera an ultimatum last week: either respond to demands in five days or deal with a nationwide work stoppage. Pinera did not respond.",Chile workers unions ,Workers,,,unspecified ,NA,,
